"","corpusngram1","n"
"154","–",1708
"155","since",1666
"156","why",1655
"157","2",1641
"158","night",1626
"159","always",1610
"160","such",1609
"161","few",1605
"162","—",1578
"163","game",1573
"164","look",1553
"165","own",1542
"166","long",1510
"167","thats",1510
"168","city",1508
"169","same",1503
"170","it’",1496
"171","big",1495
"172","better",1493
"173","lot",1485
"174","feel",1484
"175","again",1482
"176","1",1478
"177","show",1467
"178","place",1462
"179","use",1444
"180","thanks",1441
"181","says",1422
"182","each",1421
"183","3",1419
"184","both",1415
"185","until",1402
"186","man",1390
"187","part",1390
"188","find",1380
"189","cant",1362
"190","sure",1352
"191","help",1341
"192","thing",1330
"193","days",1321
"194","family",1312
"195","house",1300
"196","put",1299
"197","end",1293
"198","give",1280
"199","used",1275
"200","though",1274
"201","during",1248
"202","keep",1241
"203","ever",1238
"204","does",1236
"205","team",1218
"206","away",1216
"207","i’",1216
"208","getting",1215
"209","high",1215
"210","happy",1214
"211","book",1198
"212","might",1198
"213","between",1177
"214","left",1177
"215","season",1164
"216","found",1160
"217","let",1158
"218","old",1155
"219","went",1152
"220","without",1152
"221","didnt",1149
"222","thought",1147
"223","ive",1146
"224","against",1144
"225","told",1130
"226","times",1119
"227","rt",1118
"228","start",1113
"229","percent",1111
"230","looking",1110
"231","play",1108
"232","10",1103
"233","hope",1096
"234","don’",1091
"235","enough",1084
"236","million",1075
"237","took",1067
"238","second",1066
"239","doing",1065
"240","having",1062
"241","money",1057
"242","came",1051
"243","public",1051
"244","set",1039
"245","once",1032
"246","done",1028
"247","making",1026
"248","yet",1015
"249","different",1006
"250","free",1006
"251","friends",1000
"252","four",992
"253","under",992
"254","called",988
"255","point",982
"256","police",982
"257","youre",978
"258","someone",969
"259","county",967
"260","god",966
"261","top",966
"262","hard",961
"263","5",950
"264","must",948
"265","everyone",944
"266","run",944
"267","4",942
"268","actually",940
"269","already",940
"270","real",938
"271","bit",935
"272","later",935
"273","read",933
"274","morning",932
"275","story",931
"276","started",928
"277","room",925
"278","least",921
"279","lol",920
"280","far",919
"281","bad",918
"282","follow",918
"283","live",918
"284","tell",915
"285","try",915
"286","fun",914
"287","children",913
"288","makes",909
"289","pm",905
"290","company",904
"291","business",901
"292","trying",899
"293","call",897
"294","food",893
"295","job",886
"296","working",881
"297","anything",876
"298","pretty",875
"299","ill",874
"300","kids",867
"301","hes",860
"302","music",856
"303","less",855
"304","nothing",853
"305","together",852
"306","wanted",849
"307","yes",846
"308","early",845
"309","past",845
"310","including",836
"311","others",830
"312","small",829
"313","everything",826
"314","name",825
"315","white",823
"316","open",820
"317","ago",819
"318","believe",818
"319","change",818
"320","coming",818
"321","however",817
"322","able",814
"323","water",813
"324","head",812
"325","course",811
"326","st",804
"327","kind",803
"328","minutes",801
"329","oh",801
"330","along",793
"331","doesnt",791
"332","person",790
"333","center",787
"334","often",786
"335","care",785
"336","post",785
"337","group",782
"338","thank",776
"339","tonight",773
"340","please",772
"341","stop",772
"342","asked",770
"343","maybe",770
"344","win",770
"345","young",770
"346","myself",761
"347","several",761
"348","president",760
"349","almost",758
"350","full",755
"351","case",752
"352","using",745
"353","probably",744
"354","weeks",744
"355","months",743
"356","soon",743
"357","hours",742
"358","law",735
"359","according",734
"360","blog",732
"361","local",729
"362","number",728
"363","comes",725
"364","12",722
"365","anyone",722
"366","month",722
"367","office",715
"368","government",712
"369","nice",712
"370","five",711
"371","games",711
"372","side",709
"373","half",707
"374","heart",707
"375","national",707
"376","friday",706
"377","theres",705
"378","saw",704
"379","support",703
"380","car",702
"381","news",698
"382","seen",697
"383","wait",696
"384","fact",695
"385","weekend",692
"386","health",691
"387","black",688
"388","line",684
"389","hit",683
"390","talk",682
"391","country",679
"392","add",678
"393","american",672
"394","taking",669
"395","friend",665
"396","community",660
"397","plan",657
"398","become",655
"399","lost",654
"400","idea",651
"401","women",651
"402","mean",645
"403","road",645
"404","power",644
"405","couple",643
"406","court",643
"407","information",642
"408","quite",641
"409","sometimes",641
"410","whole",639
"411","else",638
"412","party",637
"413","remember",637
"414","students",636
"415","late",634
"416","face",631
"417","instead",630
"418","sunday",625
"419","former",623
"420","pay",619
"421","states",618
"422","close",617
"423","running",616
"424","whether",615
"425","girl",614
"426","20",611
"427","finally",610
"428","park",610
"429","mind",609
"430","6",608
"431","area",607
"432","street",607
"433","guys",606
"434","needs",604
"435","cut",603
"436","saturday",602
"437","check",601
"438","program",601
"439","experience",600
"440","forward",599
"441","favorite",596
"442","hear",596
"443","john",596
"444","special",596
"445","watch",595
"446","important",593
"447","service",593
"448","words",592
"449","ready",591
"450","series",590
"451","system",590
"452","leave",588
"453","move",588
"454","saying",588
"455","ask",583
"456","april",582
"457","behind",582
"458","list",581
"459","university",581
"460","means",579
"461","members",577
"462","among",576
"463","project",576
"464","monday",571
"465","class",570
"466","hand",570
"467","red",570
"468","turn",570
"469","officials",569
"470","future",567
"471","given",567
"472","true",567
"473","either",566
"474","board",565
"475","child",565
"476","question",565
"477","across",564
"478","share",564
"479","summer",564
"480","playing",561
"481","seems",560
"482","stay",556
"483","watching",556
"484","played",555
"485","third",555
"486","college",554
"487","film",554
"488","gave",554
"489","although",553
"490","bring",553
"491","order",553
"492","didn’",552
"493","movie",552
"494","rather",552
"495","books",549
"496","reason",548
"497","south",548
"498","word",547
"499","federal",544
"500","following",544
"501","thursday",544
"502","art",543
"503","thinking",543
"504","light",541
"505","beer",540
"506","bill",540
"507","history",540
"508","deal",539
"509","death",539
"510","men",537
"511","7",536
"512","living",536
"513","knew",535
"514","points",535
"515","tomorrow",535
"516","amazing",534
"517","decided",534
"518","felt",534
"519","large",534
"520","needed",534
"521","i’ve",533
"522","miss",533
"523","within",533
"524","15",532
"525","building",531
"526","york",531
"527","cool",530
"528","six",529
"529","stuff",528
"530","perfect",527
"531","isnt",526
"532","front",525
"533","guy",525
"534","beautiful",524
"535","twitter",524
"536","district",523
"537","woman",522
"538","wrong",519
"539","30",518
"540","writing",518
"541","reading",517
"542","11",508
"543","added",508
"544","event",508
"545","outside",507
"546","wasnt",506
"547","buy",505
"548","especially",505
"549","body",504
"550","taken",504
"551","march",502
"552","gets",501
"553","goes",500
"554","tried",499
"555","2010",498
"556","8",498
"557","report",498
"558","phone",496
"559","rest",495
"560","director",494
"561","mother",494
"562","market",493
"563","matter",493
"564","social",491
"565","process",490
"566","baby",489
"567","tuesday",489
"568","available",488
"569","san",488
"570","north",485
"571","short",485
"572","meet",484
"573","mr",484
"574","id",483
"575","lives",483
"576","paper",483
"577","theyre",483
"578","coach",482
"579","enjoy",482
"580","fall",482
"581","problem",482
"582","parents",481
"583","pick",481
"584","heard",480
"585","possible",479
"586","chance",478
"587","looks",478
"588","near",478
"589","awesome",477
"590","major",477
"591","wish",477
"592","mom",476
"593","players",476
"594","hot",474
"595","feeling",473
"596","song",473
"597","department",470
"598","fire",470
"599","moment",470
"600","strong",470
"601","issue",469
"602","single",469
"603","final",468
"604","west",466
"605","green",465
"606","turned",462
"607","spent",461
"608","that’",460
"609","write",460
"610","looked",459
"611","wants",459
"612","card",458
"613","general",458
"614","lets",458
"615","church",457
"616","hey",457
"617","himself",457
"618","2011",456
"619","level",456
"620","ones",456
"621","eat",454
"622","meeting",454
"623","easy",453
"624","obama",453
"625","inside",450
"626","store",449
"627","sweet",449
"628","2012",448
"629","excited",448
"630","girls",448
"631","talking",448
"632","online",447
"633","recent",445
"634","son",444
"635","schools",443
"636","whats",443
"637","won",443
"638","known",442
"639","sense",442
"640","starting",442
"641","per",441
"642","visit",439
"643","based",438
"644","video",438
"645","nearly",435
"646","field",434
"647","recently",434
"648","shot",434
"649","age",433
"650","lead",433
"651","birthday",432
"652","likely",432
"653","town",432
"654","tax",431
"655","9",429
"656","wont",429
"657","began",428
"658","father",427
"659","media",427
"660","dinner",425
"661","jobs",423
"662","break",421
"663","oil",421
"664","spring",421
"665","drive",419
"666","yeah",418
"667","wednesday",416
"668","understand",415
"669","worked",415
"670","loved",414
"671","usually",414
"672","ohio",413
"673","race",413
"674","record",413
"675","happen",412
"676","clear",411
"677","learn",411
"678","cost",410
"679","longer",410
"680","feet",409
"681","works",409
"682","worth",409
"683","guess",408
"684","political",408
"685","continue",407
"686","giving",407
"687","hour",407
"688","personal",407
"689","issues",406
"690","takes",406
"691","services",405
"692","can’",404
"693","washington",403
"694","eyes",402
"695","include",402
"696","wonderful",402
"697","gone",401
"698","trip",400
"699","human",398
"700","simply",398
"701","war",398
"702","decision",397
"703","middle",397
"704","perhaps",397
"705","seem",397
"706","control",396
"707","space",396
"708","energy",395
"709","plans",394
"710","tv",394
"711","became",392
"712","conference",392
"713","fans",392
"714","hate",392
"715","huge",392
"716","ok",392
"717","above",391
"718","shows",391
"719","ways",391
"720","air",390
"721","questions",390
"722","return",389
"723","walk",389
"724","boy",388
"725","challenge",388
"726","bed",387
"727","lots",387
"728","interesting",386
"729","yourself",385
"730","100",384
"731","brought",384
"732","create",384
"733","daughter",384
"734","site",384
"735","brown",383
"736","earlier",383
"737","wife",383
"738","companies",382
"739","happened",382
"740","offer",382
"741","themselves",382
"742","united",382
"743","expected",381
"744","sales",381
"745","sleep",381
"746","wine",380
"747","seeing",379
"748","25",377
"749","bar",377
"750","cup",376
"751","picture",376
"752","despite",375
"753","cause",374
"754","education",374
"755","held",374
"756","band",371
"757","whose",371
"758","sent",370
"759","sorry",369
"760","teams",368
"761","act",367
"762","definitely",367
"763","led",367
"764","simple",367
"765","sound",366
"766","america",365
"767","campaign",365
"768","hair",365
"769","david",363
"770","he’",362
"771","havent",361
"772","budget",360
"773","cover",360
"774","difficult",360
"775","husband",360
"776","received",359
"777","crazy",357
"778","dog",357
"779","stories",356
"780","14",354
"781","gonna",353
"782","blue",352
"783","certain",352
"784","died",351
"785","fine",351
"786","player",351
"787","opportunity",350
"788","round",349
"789","career",348
"790","save",347
"791","wrote",347
"792","finished",346
"793","form",346
"794","moved",346
"795","seven",346
"796","dead",345
"797","billion",344
"798","hold",344
"799","hospital",344
"800","provide",344
"801","couldnt",343
"802","example",343
"803","spend",343
"804","18",342
"805","boys",342
"806","quickly",342
"807","training",342
"808","ball",341
"809","met",341
"810","jersey",340
"811","you’re",340
"812","chicago",339
"813","door",339
"814","haha",339
"815","hell",339
"816","knows",339
"817","research",339
"818","answer",338
"819","christmas",338
"820","moving",338
"821","problems",338
"822","pass",337
"823","price",335
"824","sounds",335
"825","california",334
"826","cleveland",334
"827","goal",334
"828","ground",334
"829","june",333
"830","page",333
"831","send",333
"832","mark",332
"833","stand",332
"834","character",331
"835","club",331
"836","current",331
"837","welcome",331
"838","cannot",330
"839","east",330
"840","13",329
"841","entire",329
"842","heat",329
"843","weather",329
"844","wonder",329
"845","workers",329
"846","bank",328
"847","doesn’",328
"848","main",328
"849","medical",328
"850","shes",328
"851","complete",327
"852","focus",327
"853","loss",327
"854","low",327
"855","michael",327
"856","super",327
"857","hands",326
"858","staff",326
"859","total",325
"860","whatever",325
"861","2009",324
"862","cold",324
"863","2008",323
"864","action",323
"865","alone",323
"866","economic",323
"867","security",323
"868","step",323
"869","completely",322
"870","itself",322
"871","rock",322
"872","statement",322
"873","track",322
"874","50",321
"875","attention",321
"876","created",321
"877","yesterday",321
"878","position",320
"879","view",320
"880","website",320
"881","“i",319
"882","dr",318
"883","expect",318
"884","table",318
"885","league",317
"886","coffee",316
"887","la",316
"888","role",316
"889","piece",315
"890","star",315
"891","weve",315
"892","deep",314
"893","financial",314
"894","passed",314
"895","council",313
"896","miles",313
"897","there’",313
"898","vote",313
"899","released",312
"900","waiting",312
"901","design",311
"902","similar",311
"903","changes",310
"904","due",310
"905","followed",310
"906","glad",310
"907","higher",310
"908","louis",310
"909","practice",310
"910","seemed",310
"911","interest",309
"912","chief",308
"913","amount",307
"914","color",307
"915","industry",307
"916","press",307
"917","result",307
"918","serious",307
"919","choice",306
"920","economy",306
"921","funny",305
"922","further",305
"923","written",305
"924","bought",304
"925","certainly",304
"926","kept",304
"927","paul",304
"928","“the",304
"929","facebook",303
"930","development",302
"931","ideas",302
"932","fresh",301
"933","jesus",301
"934","note",301
"935","opening",301
"936","situation",301
"937","allow",300
"938","forget",300
"939","james",300
"940","senior",300
"941","style",300
"942","events",299
"943","international",299
"944","success",299
"945","details",298
"946","exactly",298
"947","manager",298
"948","sign",298
"949","sit",298
"950","wall",298
"951","begin",297
"952","ice",297
"953","lunch",296
"954","spending",296
"955","employees",295
"956","below",294
"957","drink",294
"958","private",294
"959","sort",294
"960","throughout",294
"961","beginning",293
"962","bowl",293
"963","extra",292
"964","learned",292
"965","paid",292
"966","release",292
"967","upon",292
"968","voice",292
"969","judge",291
"970","relationship",291
"971","sugar",291
"972","busy",290
"973","force",290
"974","helped",290
"975","portland",290
"976","sun",290
"977","wouldnt",289
"978","anyway",288
"979","email",288
"980","runs",288
"981","scene",288
"982","fell",287
"983","football",287
"984","involved",287
"985","join",287
"986","groups",286
"987","oregon",286
"988","reported",286
"989","16",285
"990","date",285
"991","growing",285
"992","hall",285
"993","named",285
"994","pictures",285
"995","straight",285
"996","eating",284
"997","republican",284
"998","restaurant",284
"999","sitting",284
"1000","finish",283
"1001","key",283
"1002","member",283
"1003","photos",283
"1004","beat",282
"1005","dark",282
"1006","increase",282
"1007","ran",282
"1008","sad",282
"1009","allowed",280
"1010","title",280
"1011","type",280
"1012","version",280
"1013","40",279
"1014","lose",279
"1015","river",279
"1016","tweet",279
"1017","chicken",278
"1018","eight",278
"1019","fast",278
"1020","property",278
"1021","rose",278
"1022","test",278
"1023","truth",278
"1024","value",278
"1025","beyond",277
"1026","central",277
"1027","defense",277
"1028","de",276
"1029","gift",276
"1030","july",276
"1031","learning",276
"1032","data",275
"1033","performance",275
"1034","shit",275
"1035","student",275
"1036","floor",274
"1037","pieces",274
"1038","rules",274
"1039","seriously",274
"1040","shop",274
"1041","“",274
"1042","afternoon",273
"1043","box",273
"1044","comment",273
"1045","pain",273
"1046","projects",273
"1047","review",273
"1048","stage",273
"1049","youll",273
"1050","chocolate",272
"1051","cream",272
"1052","starts",272
"1053","natural",271
"1054","places",271
"1055","residents",271
"1056","executive",270
"1057","missed",270
"1058","original",270
"1059","figure",269
"1060","calls",268
"1061","committee",268
"1062","daily",268
"1063","garden",268
"1064","plus",268
"1065","born",267
"1066","driving",267
"1067","gives",267
"1068","hotel",267
"1069","mix",267
"1070","rights",267
"1071","mostly",266
"1072","rate",266
"1073","totally",266
"1074","changed",265
"1075","products",265
"1076","speak",265
"1077","brother",264
"1078","consider",264
"1079","included",264
"1080","evening",263
"1081","tour",263
"1082","dad",262
"1083","eventually",262
"1084","internet",262
"1085","photo",262
"1086","radio",262
"1087","study",262
"1088","trust",262
"1089","album",261
"1090","feels",261
"1091","fight",261
"1092","present",261
"1093","reality",261
"1094","costs",260
"1095","dream",260
"1096","popular",260
"1097","results",260
"1098","wear",259
"1099","ahead",258
"1100","common",258
"1101","immediately",258
"1102","quality",258
"1103","served",258
"1104","telling",258
"1105","biggest",257
"1106","24",256
"1107","fear",256
"1108","land",256
"1109","winter",256
"1110","cheese",255
"1111","growth",255
"1112","includes",255
"1113","lines",255
"1114","society",255
"1115","winning",255
"1116","annual",254
"1117","leaving",254
"1118","putting",254
"1119","attorney",253
"1120","onto",253
"1121","previous",253
"1122","prices",253
"1123","walking",253
"1124","build",252
"1125","eye",252
"1126","imagine",252
"1127","message",252
"1128","opened",252
"1129","chris",251
"1130","period",251
"1131","truly",251
"1132","cake",250
"1133","safe",250
"1134","showed",250
"1135","sister",250
"1136","travel",250
"1137","blood",249
"1138","credit",249
"1139","interested",249
"1140","sell",249
"1141","fan",248
"1142","lower",248
"1143","serve",248
"1144","earth",247
"1145","mine",247
"1146","regular",247
"1147","bag",246
"1148","poor",246
"1149","agency",245
"1150","difference",245
"1151","families",245
"1152","okay",245
"1153","texas",245
"1154","average",244
"1155","effort",244
"1156","grow",244
"1157","square",244
"1158","block",243
"1159","dance",243
"1160","etc",243
"1161","gas",243
"1162","glass",243
"1163","january",243
"1164","mike",243
"1165","officers",243
"1166","romney",243
"1167","sex",243
"1168","sold",243
"1169","taste",243
"1170","account",242
"1171","die",242
"1172","ended",242
"1173","kid",242
"1174","potential",242
"1175","size",242
"1176","technology",242
"1177","17",241
"1178","happens",241
"1179","image",241
"1180","smith",241
"1181","interview",240
"1182","quick",240
"1183","reach",240
"1184","wearing",240
"1185","areas",239
"1186","killed",239
"1187","king",239
"1188","safety",239
"1189","contact",238
"1190","cute",238
"1191","legal",238
"1192","tough",238
"1193","union",238
"1194","cases",237
"1195","drop",237
"1196","songs",237
"1197","thoughts",237
"1198","announced",236
"1199","built",236
"1200","holiday",236
"1201","listen",236
"1202","nature",236
"1203","ability",235
"1204","absolutely",235
"1205","characters",235
"1206","fourth",235
"1207","goals",235
"1208","kitchen",235
"1209","letter",235
"1210","sports",235
"1211","toward",235
"1212","warm",235
"1213","lovely",234
"1214","luck",234
"1215","marriage",234
"1216","overall",234
"1217","stopped",234
"1218","wow",234
"1219","heres",233
"1220","english",232
"1221","terms",232
"1222","beach",231
"1223","computer",231
"1224","customers",231
"1225","enjoyed",231
"1226","rain",231
"1227","receive",231
"1228","wanna",231
"1229","weight",231
"1230","addition",230
"1231","bottom",230
"1232","hoping",230
"1233","mayor",230
"1234","policy",230
"1235","senate",230
"1236","spot",230
"1237","tickets",230
"1238","choose",229
"1239","orange",229
"1240","recipe",229
"1241","rich",229
"1242","risk",229
"1243","shopping",229
"1244","trade",229
"1245","apparently",228
"1246","article",228
"1247","base",228
"1248","double",228
"1249","fair",228
"1250","fit",228
"1251","isn’",228
"1252","library",228
"1253","quarter",228
"1254","youve",228
"1255","asking",227
"1256","benefits",227
"1257","hurt",227
"1258","records",227
"1259","unless",227
"1260","�",227
"1261","22",226
"1262","closed",226
"1263","george",226
"1264","gold",226
"1265","homes",226
"1266","supposed",226
"1267","cancer",225
"1268","officer",225
"1269","voters",225
"1270","arent",224
"1271","movies",224
"1272","planning",224
"1273","teachers",224
"1274","winner",224
"1275","worse",224
"1276","ya",224
"1277","additional",223
"1278","ass",223
"1279","comments",223
"1280","florida",223
"1281","justice",223
"1282","product",223
"1283","ride",223
"1284","19",222
"1285","construction",222
"1286","february",222
"1287","hearing",222
"1288","lake",222
"1289","leaders",222
"1290","london",222
"1291","worst",222
"1292","plays",221
"1293","throw",221
"1294","tired",221
"1295","cards",220
"1296","considered",220
"1297","except",220
"1298","latest",220
"1299","november",220
"1300","various",220
"1301","fish",219
"1302","mothers",219
"1303","positive",219
"1304","sat",219
"1305","cook",218
"1306","currently",218
"1307","effect",218
"1308","lack",218
"1309","particularly",218
"1310","picked",218
"1311","programs",218
"1312","station",218
"1313","damn",217
"1314","offered",217
"1315","watched",217
"1316","administration",216
"1317","association",216
"1318","charge",216
"1319","draft",216
"1320","finding",216
"1321","french",216
"1322","none",216
"1323","touch",216
"1324","walked",216
"1325","adding",215
"1326","calling",215
"1327","clean",215
"1328","election",215
"1329","healthy",215
"1330","language",215
"1331","keeping",214
"1332","los",214
"1333","meant",214
"1334","mention",214
"1335","numbers",214
"1336","peace",214
"1337","reasons",214
"1338","seconds",214
"1339","agree",213
"1340","corner",213
"1341","minute",213
"1342","21",212
"1343","becomes",212
"1344","collection",212
"1345","leaves",212
"1346","older",212
"1347","wasn’",212
"1348","caught",211
"1349","insurance",211
"1350","link",211
"1351","missing",211
"1352","nine",211
"1353","teacher",211
"1354","agreed",210
"1355","remain",210
"1356","reports",210
"1357","stock",210
"1358","tea",210
"1359","2007",209
"1360","access",209
"1361","december",209
"1362","drug",209
"1363","hopefully",209
"1364","kill",209
"1365","novel",209
"1366","required",209
"1367","sale",209
"1368","search",209
"1369","twice",209
"1370","whom",209
"1371","award",208
"1372","festival",208
"1373","particular",208
"1374","sauce",208
"1375","thomas",208
"1376","easily",207
"1377","evidence",207
"1378","individual",207
"1379","realize",207
"1380","slow",207
"1381","hill",206
"1382","military",206
"1383","official",206
"1384","proud",206
"1385","valley",206
"1386","catch",205
"1387","items",205
"1388","loves",205
"1389","robert",205
"1390","scott",205
"1391","charges",204
"1392","culture",204
"1393","fat",204
"1394","listening",204
"1395","range",204
"1396","standing",204
"1397","baseball",203
"1398","continued",203
"1399","dress",203
"1400","term",203
"1401","british",202
"1402","modern",202
"1403","patients",202
"1404","raised",202
"1405","respect",202
"1406","victory",202
"1407","address",201
"1408","leader",201
"1409","lived",201
"1410","lord",201
"1411","plenty",201
"1412","raise",201
"1413","sick",201
"1414","spokesman",201
"1415","subject",201
"1416","writer",201
"1417","23",200
"1418","china",200
"1419","parts",200
"1420","session",200
"1421","turns",200
"1422","via",200
"1423","charged",199
"1424","contract",199
"1425","doctor",199
"1426","easier",199
"1427","grand",199
"1428","grew",199
"1429","guard",199
"1430","joe",199
"1431","lady",199
"1432","posted",199
"1433","scored",199
"1434","signed",199
"1435","tom",199
"1436","wedding",199
"1437","fund",198
"1438","leading",198
"1439","management",198
"1440","offers",198
"1441","snow",198
"1442","congress",197
"1443","faith",197
"1444","traffic",197
"1445","attack",196
"1446","audience",196
"1447","author",196
"1448","investigation",196
"1449","yards",196
"1450","artist",195
"1451","crowd",195
"1452","i’ll",195
"1453","physical",195
"1454","doubt",194
"1455","efforts",194
"1456","menu",194
"1457","trouble",194
"1458","americans",193
"1459","arrived",193
"1460","avenue",193
"1461","bus",193
"1462","everybody",193
"1463","plant",193
"1464","text",193
"1465","approach",192
"1466","bay",192
"1467","crime",192
"1468","features",192
"1469","filled",192
"1470","impact",192
"1471","married",192
"1472","arts",191
"1473","battle",191
"1474","folks",191
"1475","vs",191
"1476","angeles",190
"1477","creative",190
"1478","forced",190
"1479","forever",190
"1480","johnson",190
"1481","organization",190
"1482","realized",190
"1483","response",190
"1484","science",190
"1485","skin",190
"1486","balance",189
"1487","basketball",189
"1488","movement",189
"1489","owner",189
"1490","secret",189
"1491","shall",189
"1492","smile",189
"1493","stores",189
"1494","successful",189
"1495","ten",189
"1496","they’re",189
"1497","towards",189
"1498","apple",188
"1499","cars",188
"1500","decide",188
"1501","helping",188
"1502","names",188
"1503","nation",188
"1504","neighborhood",188
"1505","normal",188
"1506","pages",188
"1507","planned",188
"1508","tells",188
"1509","ur",188
"1510","becoming",187
"1511","clearly",187
"1512","dear",187
"1513","dogs",187
"1514","holding",187
"1515","island",187
"1516","stadium",187
"1517","creating",186
"1518","debt",186
"1519","indeed",186
"1520","notice",186
"1521","production",186
"1522","thousands",186
"1523","worry",186
"1524","designed",185
"1525","failed",185
"1526","ha",185
"1527","prepared",185
"1528","salt",185
"1529","she’",185
"1530","tree",185
"1531","willing",185
"1532","concerned",184
"1533","continues",184
"1534","freedom",184
"1535","shooting",184
"1536","williams",184
"1537","benefit",183
"1538","butter",183
"1539","classes",183
"1540","cuts",183
"1541","slightly",183
"1542","arrested",182
"1543","avoid",182
"1544","brain",182
"1545","brings",182
"1546","marketing",182
"1547","peter",182
"1548","26",181
"1549","commission",181
"1550","necessary",181
"1551","notes",181
"1552","professional",181
"1553","section",181
"1554","southern",181
"1555","speaking",181
"1556","television",181
"1557","train",181
"1558","arizona",180
"1559","bigger",180
"1560","brand",180
"1561","broken",180
"1562","firm",180
"1563","neither",180
"1564","nights",180
"1565","possibly",180
"1566","returned",180
"1567","banks",179
"1568","content",179
"1569","cross",179
"1570","francisco",179
"1571","knowledge",179
"1572","lucky",179
"1573","network",179
"1574","september",179
"1575","surprised",179
"1576","coast",178
"1577","nor",178
"1578","october",178
"1579","protect",178
"1580","rule",178
"1581","taxes",178
"1582","turning",178
"1583","obviously",177
"1584","reached",177
"1585","we’re",177
"1586","wide",177
"1587","breakfast",176
"1588","businesses",176
"1589","buying",176
"1590","camp",176
"1591","cash",176
"1592","democrats",176
"1593","ourselves",176
"1594","parking",176
"1595","speed",176
"1596","appears",175
"1597","appreciate",175
"1598","conversation",175
"1599","division",175
"1600","drinking",175
"1601","largest",175
"1602","prison",175
"1603","seasons",175
"1604","studio",175
"1605","traditional",175
"1606","treatment",175
"1607","hi",174
"1608","limited",174
"1609","match",174
"1610","published",174
"1611","region",174
"1612","remains",174
"1613","somewhere",174
"1614","stupid",174
"1615","won’",174
"1616","anymore",173
"1617","christian",173
"1618","classic",173
"1619","golden",173
"1620","jones",173
"1621","require",173
"1622","schedule",173
"1623","sides",173
"1624","understanding",173
"1625","usual",173
"1626","august",172
"1627","dropped",172
"1628","dry",172
"1629","films",172
"1630","helps",172
"1631","income",172
"1632","liked",172
"1633","roll",172
"1634","specific",172
"1635","spread",172
"1636","steps",172
"1637","28",171
"1638","environment",171
"1639","nfl",171
"1640","spirit",171
"1641","stuck",171
"1642","tournament",171
"1643","aside",170
"1644","bridge",170
"1645","broke",170
"1646","claim",170
"1647","detroit",170
"1648","digital",170
"1649","gay",170
"1650","jack",170
"1651","joined",170
"1652","model",170
"1653","museum",170
"1654","pop",170
"1655","powerful",170
"1656","push",170
"1657","readers",170
"1658","surprise",170
"1659","window",170
"1660","century",169
"1661","charles",169
"1662","count",169
"1663","feature",169
"1664","mentioned",169
"1665","posts",169
"1666","seat",169
"1667","thinks",169
"1668","60",168
"1669","bright",168
"1670","complex",168
"1671","directly",168
"1672","dollars",168
"1673","global",168
"1674","likes",168
"1675","options",168
"1676","placed",168
"1677","ryan",168
