"","corpusngram4","n"
"442","going to have a",15
"443","going to try to",15
"444","have to deal with",15
"445","have to do is",15
"446","i am not sure",15
"447","i dont have to",15
"448","i think i have",15
"449","i want to see",15
"450","i want you to",15
"451","i was in the",15
"452","if i want to",15
"453","in a couple of",15
"454","in a series of",15
"455","in such a way",15
"456","in the last few",15
"457","in the past and",15
"458","in the words of",15
"459","in us district court",15
"460","is a good thing",15
"461","is supposed to be",15
"462","it had to be",15
"463","it is important to",15
"464","it out of the",15
"465","it was going to",15
"466","its not going to",15
"467","long way to go",15
"468","made it to the",15
"469","of the things that",15
"470","of the year and",15
"471","on the edge of",15
"472","said it was a",15
"473","side of the road",15
"474","take a look at",15
"475","thanks for the retweet",15
"476","that would be a",15
"477","the day of the",15
"478","the hall of fame",15
"479","the head of the",15
"480","the last few years",15
"481","the next few days",15
"482","the only way to",15
"483","the rest of my",15
"484","there are lots of",15
"485","to do the same",15
"486","to look forward to",15
"487","to make up for",15
"488","to take advantage of",15
"489","want it to be",15
"490","with a couple of",15
"491","with the rest of",15
"492","you look at the",15
"493","a copy of the",14
"494","a couple of months",14
"495","a few of my",14
"496","a good way to",14
"497","a result of the",14
"498","a whole lot of",14
"499","a wide range of",14
"500","all of a sudden",14
"501","all you have to",14
"502","and there is no",14
"503","are going to have",14
"504","as long as they",14
"505","at the heart of",14
"506","at the start of",14
"507","at this point i",14
"508","but i think that",14
"509","every once in a",14
"510","fall in love with",14
"511","for a lot of",14
"512","got a lot of",14
"513","have the opportunity to",14
"514","have to be a",14
"515","i had no idea",14
"516","i have to go",14
"517","i was a bit",14
"518","i went to the",14
"519","if i had a",14
"520","if there was a",14
"521","if you look at",14
"522","in a few weeks",14
"523","in favor of the",14
"524","in terms of the",14
"525","in the last two",14
"526","in the new york",14
"527","in the parking lot",14
"528","in the world of",14
"529","is going to have",14
"530","is one of those",14
"531","it is one of",14
"532","it was a very",14
"533","middle of the night",14
"534","no matter how much",14
"535","of the season and",14
"536","of the university of",14
"537","on the one hand",14
"538","one of the many",14
"539","one of the more",14
"540","out to be a",14
"541","quite a bit of",14
"542","something to do with",14
"543","take advantage of the",14
"544","take the time to",14
"545","thank you for all",14
"546","thanks for following me",14
"547","that needs to be",14
"548","that you have to",14
"549","the form of a",14
"550","the last few weeks",14
"551","the rest of us",14
"552","the way it is",14
"553","there is so much",14
"554","those of us who",14
"555","to be at the",14
"556","to deal with the",14
"557","to do with it",14
"558","to get into the",14
"559","to live in the",14
"560","to make it to",14
"561","to play in the",14
"562","we will have to",14
"563","were going to have",14
"564","what was going on",14
"565","would have been a",14
"566","you have to have",14
"567","you want me to",14
"568","a lot of money",13
"569","and i feel like",13
"570","and i had a",13
"571","and it was a",13
"572","and out of the",13
"573","and some of the",13
"574","and there is a",13
"575","by the time we",13
"576","couple of years ago",13
"577","dont know if i",13
"578","felt like i was",13
"579","for a few hours",13
"580","for as long as",13
"581","for some reason i",13
"582","for those who are",13
"583","has a lot of",13
"584","has to do with",13
"585","have to say that",13
"586","have to worry about",13
"587","he was able to",13
"588","hope all is well",13
"589","i decided to make",13
"590","i dont feel like",13
"591","i don’ know if",13
"592","i don’ know what",13
"593","i have a few",13
"594","i have never been",13
"595","i hope you all",13
"596","i knew it was",13
"597","i know that i",13
"598","i need to do",13
"599","i wanted to see",13
"600","i was a little",13
"601","if you are interested",13
"602","im going to have",13
"603","in a large bowl",13
"604","in a variety of",13
"605","in love with the",13
"606","in the center of",13
"607","is a lot of",13
"608","is part of a",13
"609","it should have been",13
"610","it used to be",13
"611","it was my first",13
"612","just a little bit",13
"613","makes me want to",13
"614","martin luther king jr",13
"615","may be able to",13
"616","may or may not",13
"617","more than a year",13
"618","on top of that",13
"619","one of the greatest",13
"620","one of the reasons",13
"621","out of the car",13
"622","over the past year",13
"623","right thing to do",13
"624","seems to be a",13
"625","she and her husband",13
"626","that i have to",13
"627","that it was a",13
"628","that there was no",13
"629","the fact that they",13
"630","the first time this",13
"631","the last day of",13
"632","the national association of",13
"633","the only thing i",13
"634","the story of a",13
"635","the story of the",13
"636","there has to be",13
"637","there is also a",13
"638","there is no way",13
"639","there is only one",13
"640","they are going to",13
"641","this was the first",13
"642","time and time again",13
"643","to do the right",13
"644","to figure out how",13
"645","to make a difference",13
"646","to make it a",13
"647","to see if i",13
"648","to the best of",13
"649","to the next level",13
"650","to the rest of",13
"651","to the top of",13
"652","told the associated press",13
"653","two and a half",13
"654","was one of those",13
"655","we need to do",13
"656","what do you do",13
"657","what it takes to",13
"658","with salt and pepper",13
"659","you don’ have to",13
"660","you have a great",13
"661","24 hours a day",12
"662","a couple of hours",12
"663","a good idea to",12
"664","a little bit more",12
"665","a look at the",12
"666","according to the report",12
"667","an hour and a",12
"668","an integral part of",12
"669","and a bit of",12
"670","and i am not",12
"671","and i dont know",12
"672","and i wanted to",12
"673","and it will be",12
"674","and the united states",12
"675","are one of the",12
"676","as a result the",12
"677","as if they were",12
"678","at the time the",12
"679","be able to make",12
"680","but i think it",12
"681","but i think the",12
"682","but it was a",12
"683","but when it comes",12
"684","by the fact that",12
"685","come out of the",12
"686","couple of weeks ago",12
"687","did not respond to",12
"688","dont get me wrong",12
"689","every now and then",12
"690","feel like i have",12
"691","food and drug administration",12
"692","for disease control and",12
"693","for the time being",12
"694","for those who have",12
"695","from all over the",12
"696","get in the way",12
"697","have a chance to",12
"698","have the ability to",12
"699","have the right to",12
"700","he said in a",12
"701","i am in the",12
"702","i don’ have to",12
"703","i feel like im",12
"704","i had to do",12
"705","i love you and",12
"706","i think i can",12
"707","i think it was",12
"708","i think this is",12
"709","i want to get",12
"710","i want to share",12
"711","i wanted to be",12
"712","i wanted to do",12
"713","i was looking for",12
"714","in a food processor",12
"715","in a good way",12
"716","in a written statement",12
"717","in connection with the",12
"718","in order to get",12
"719","in the bottom of",12
"720","in the morning and",12
"721","in the near future",12
"722","in the past year",12
"723","is a great way",12
"724","is based on the",12
"725","is likely to be",12
"726","is not a good",12
"727","is that it is",12
"728","is the best way",12
"729","it has to be",12
"730","it is hard to",12
"731","know what it is",12
"732","might be able to",12
"733","more often than not",12
"734","near the end of",12
"735","needs to be done",12
"736","no such thing as",12
"737","not been able to",12
"738","of my life i",12
"739","of some of the",12
"740","of the day i",12
"741","of the fact that",12
"742","of the things i",12
"743","of the world and",12
"744","of the year in",12
"745","on a daily basis",12
"746","on the back of",12
"747","on the same day",12
"748","on the way to",12
"749","on to the next",12
"750","one of the main",12
"751","one of the worst",12
"752","one way or another",12
"753","over and over and",12
"754","over the next few",12
"755","percent of the vote",12
"756","rest of the world",12
"757","she was going to",12
"758","so i had to",12
"759","spend a lot of",12
"760","tens of thousands of",12
"761","thanks for the ff",12
"762","that i had to",12
"763","that would have been",12
"764","the fact that he",12
"765","the first round of",12
"766","the former massachusetts governor",12
"767","the good news is",12
"768","the last few months",12
"769","the last of the",12
"770","the only one who",12
"771","the paintball gun cases",12
"772","the past couple of",12
"773","the people in the",12
"774","the power of the",12
"775","the remainder of the",12
"776","the same time i",12
"777","the same time the",12
"778","the university of chicago",12
"779","the vacation villa italy",12
"780","the value of the",12
"781","there are a few",12
"782","there would be no",12
"783","they need to be",12
"784","thought it was a",12
"785","time of the year",12
"786","to come out of",12
"787","to find out what",12
"788","to give me a",12
"789","to go to work",12
"790","to learn more about",12
"791","to talk about the",12
"792","to the point of",12
"793","wait to see what",12
"794","want to be in",12
"795","was able to get",12
"796","we look forward to",12
"797","we were going to",12
"798","were going to be",12
"799","with a bit of",12
"800","you are interested in",12
"801","you have any questions",12
"802","you know what i",12
"803","you so much for",12
"804","you will be able",12
"805","a big fan of",11
"806","a friend of mine",11
"807","a great place to",11
"808","a hell of a",11
"809","a little more than",11
"810","a lot of good",11
"811","a masters degree in",11
"812","a way to get",11
"813","all you need to",11
"814","and all of the",11
"815","and i have a",11
"816","and i have been",11
"817","and of course the",11
"818","and this is a",11
"819","are expected to be",11
"820","are going to do",11
"821","as long as the",11
"822","at the very least",11
"823","been a lot of",11
"824","but at the same",11
"825","but i dont think",11
"826","but i have a",11
"827","but i wanted to",11
"828","centers for disease control",11
"829","could be used to",11
"830","did a great job",11
"831","do a better job",11
"832","dont know how to",11
"833","for me and my",11
"834","for the past two",11
"835","go back to the",11
"836","going to make it",11
"837","had nothing to do",11
"838","had to go to",11
"839","has always been a",11
"840","has nothing to do",11
"841","has the potential to",11
"842","have been in the",11
"843","have the power to",11
"844","have to admit that",11
"845","have to say i",11
"846","he and his wife",11
"847","he was trying to",11
"848","hour and a half",11
"849","how much i love",11
"850","i am happy to",11
"851","i can honestly say",11
"852","i cant help but",11
"853","i do not have",11
"854","i dont have any",11
"855","i dont know about",11
"856","i just have to",11
"857","i used to be",11
"858","i was supposed to",11
"859","if you are going",11
"860","if you are not",11
"861","im not sure if",11
"862","in an interview with",11
"863","in the course of",11
"864","in the long run",11
"865","in the number of",11
"866","in the past few",11
"867","in the real world",11
"868","in the same room",11
"869","is made up of",11
"870","it could have been",11
"871","it is easy to",11
"872","it thanks for the",11
"873","it was a little",11
"874","it was hard to",11
"875","it was just a",11
"876","its been a long",11
"877","its one of the",11
"878","just in time for",11
"879","let me know what",11
"880","let us know what",11
"881","looking for a new",11
"882","makes me feel like",11
"883","minutes or until the",11
"884","more than a dozen",11
"885","not a good thing",11
"886","not a lot of",11
"887","not to say that",11
"888","not want to be",11
"889","of being able to",11
"890","of the rest of",11
"891","on and off the",11
"892","on one of the",11
"893","once upon a time",11
"894","one of my best",11
"895","one of my favourite",11
"896","one side of the",11
"897","over the last few",11
"898","over the past few",11
"899","over the past two",11
"900","pates and fountain parks",11
"901","right around the corner",11
"902","see if i could",11
"903","so i can get",11
"904","so that i can",11
"905","so that you can",11
"906","some of the things",11
"907","such a way that",11
"908","thank you for sharing",11
"909","thanks for the mention",11
"910","that a lot of",11
"911","that he was a",11
"912","that i am not",11
"913","that i have the",11
"914","that i need to",11
"915","that it is a",11
"916","that there is no",11
"917","that this is a",11
"918","the best in the",11
"919","the best of my",11
"920","the fact that we",11
"921","the first time and",11
"922","the first time that",11
"923","the height of the",11
"924","the idea is to",11
"925","the idea of a",11
"926","the inside of the",11
"927","the life of a",11
"928","the most important thing",11
"929","the next few weeks",11
"930","the other day i",11
"931","the past few weeks",11
"932","the past few years",11
"933","the quality of the",11
"934","the same amount of",11
"935","the same time and",11
"936","the second half of",11
"937","the second time in",11
"938","the site of the",11
"939","the start of a",11
"940","the state of the",11
"941","the vast majority of",11
"942","there should be a",11
"943","there was no way",11
"944","think im going to",11
"945","think it would be",11
"946","this would be a",11
"947","to be a good",11
"948","to find a way",11
"949","to go in the",11
"950","to keep track of",11
"951","to know more about",11
"952","to pay for the",11
"953","to return to the",11
"954","to see if it",11
"955","to take over the",11
"956","to the back of",11
"957","to the bottom of",11
"958","to tie the game",11
"959","turn out to be",11
"960","under the age of",11
"961","until the end of",11
"962","up in the air",11
"963","want to know what",11
"964","we are in the",11
"965","we need to get",11
"966","what is your favorite",11
"967","with a bunch of",11
"968","with a group of",11
"969","with one of the",11
"970","with the fact that",11
"971","wont be able to",11
"972","would love to hear",11
"973","you can get a",11
"974","you get to the",11
"975","you need to know",11
"976","you really want to",11
"977","a big part of",10
"978","a bill that would",10
"979","a cup of coffee",10
"980","a glass of wine",10
"981","a hole in the",10
"982","a long time and",10
"983","a lot of different",10
"984","a lot of it",10
"985","a lot of my",10
"986","a lot of other",10
"987","all i know is",10
"988","and at the same",10
"989","and i love it",10
"990","and i love you",10
"991","and most of all",10
"992","and most of the",10
"993","and pepper to taste",10
"994","are supposed to be",10
"995","as a member of",10
"996","as soon as the",10
"997","asked me if i",10
"998","at least one of",10
"999","at one of the",10
"1000","at pates and fountain",10
"1001","at some point in",10
"1002","at the expense of",10
"1003","at the time and",10
"1004","back in the day",10
"1005","be a good idea",10
"1006","be interesting to see",10
"1007","being one of the",10
"1008","bring to a boil",10
"1009","but i am not",10
"1010","but i know that",10
"1011","but that doesnt mean",10
"1012","but this is a",10
"1013","cant wait to get",10
"1014","coach of the year",10
"1015","day of the year",10
"1016","disease control and prevention",10
"1017","do not have a",10
"1018","do you know what",10
"1019","dont have time to",10
"1020","dont know what to",10
"1021","during the regular season",10
"1022","feel the need to",10
"1023","first half of the",10
"1024","for a little while",10
"1025","for a while and",10
"1026","for all of us",10
"1027","for it to be",10
"1028","for more information call",10
"1029","for much of the",10
"1030","for years to come",10
"1031","from around the world",10
"1032","from one of the",10
"1033","get a lot of",10
"1034","going to be in",10
"1035","going to do it",10
"1036","got out of the",10
"1037","had no idea what",10
"1038","had so much fun",10
"1039","had the chance to",10
"1040","hard for me to",10
"1041","have a right to",10
"1042","have to have a",10
"1043","he was one of",10
"1044","how do you know",10
"1045","i can’ wait to",10
"1046","i did not have",10
"1047","i fell in love",10
"1048","i go to the",10
"1049","i have a lot",10
"1050","i have had a",10
"1051","i know i know",10
"1052","i like to think",10
"1053","i love it i",10
"1054","i need to be",10
"1055","i think it would",10
"1056","i think that is",10
"1057","i want to say",10
"1058","i was growing up",10
"1059","i will be there",10
"1060","i will have to",10
"1061","i would have to",10
"1062","if you can find",10
"1063","if you do not",10
"1064","if you were to",10
"1065","if youre going to",10
"1066","im going to do",10
"1067","in a statement that",10
"1068","in new york and",10
"1069","in the bay area",10
"1070","in the comments section",10
"1071","in the direction of",10
"1072","in the end i",10
"1073","in the next few",10
"1074","in the second round",10
"1075","in the st louis",10
"1076","in the third and",10
"1077","is by far the",10
"1078","is no such thing",10
"1079","is said to have",10
"1080","is the only one",10
"1081","it comes to the",10
"1082","it is going to",10
"1083","it is to be",10
"1084","it seems to be",10
"1085","it was the best",10
"1086","it would be nice",10
"1087","john smith’ grand national",10
"1088","just a matter of",10
"1089","just got back from",10
"1090","leading up to the",10
"1091","let us know if",10
"1092","make a difference in",10
"1093","me know what you",10
"1094","more than half of",10
"1095","move on to the",10
"1096","need to get back",10
"1097","not a fan of",10
"1098","not sure if i",10
"1099","not the first time",10
"1100","of the new york",10
"1101","of the st louis",10
"1102","of the time i",10
"1103","on both sides of",10
"1104","on the corner of",10
"1105","on the phone with",10
"1106","on the right side",10
"1107","one of the great",10
"1108","one of those people",10
"1109","people are going to",10
"1110","people who want to",10
"1111","rest of the day",10
"1112","right in front of",10
"1113","salt and pepper to",10
"1114","so much for the",10
"1115","so much for your",10
"1116","so there you have",10
"1117","some of the more",10
"1118","some of them are",10
"1119","thank you to all",10
"1120","thanks for stopping by",10
"1121","that i needed to",10
"1122","that is going to",10
"1123","that this was a",10
"1124","that we need to",10
"1125","the benefit of the",10
"1126","the better part of",10
"1127","the bottom of a",10
"1128","the goal is to",10
"1129","the history of the",10
"1130","the last few days",10
"1131","the man in the",10
"1132","the owner of the",10
"1133","the part of the",10
"1134","the past four years",10
"1135","the past three years",10
"1136","the point of the",10
"1137","the problem is that",10
"1138","the same as the",10
"1139","the world and the",10
"1140","there is no such",10
"1141","there were a lot",10
"1142","there will be no",10
"1143","this is a good",10
"1144","this is a great",10
"1145","this is a very",10
"1146","this is just a",10
"1147","this time it was",10
"1148","this was one of",10
"1149","this will be a",10
"1150","to be honest i",10
"1151","to be the first",10
"1152","to be the most",10
"1153","to get back on",10
"1154","to get in the",10
"1155","to get them to",10
"1156","to get up and",10
"1157","to go out and",10
"1158","to go to a",10
"1159","to hear from you",10
"1160","to learn how to",10
"1161","to make sure i",10
"1162","to make sure we",10
"1163","to name a few",10
"1164","to participate in a",10
"1165","to pick up the",10
"1166","to reach out to",10
"1167","to say that the",10
"1168","to see how the",10
"1169","to see if the",10
"1170","to set up a",10
"1171","to the conclusion that",10
"1172","to the idea of",10
"1173","to the other side",10
"1174","to work with the",10
"1175","took the time to",10
"1176","trying to find a",10
"1177","want to be the",10
"1178","want to do it",10
"1179","want to live in",10
"1180","was one of my",10
"1181","was part of the",10
"1182","was the first to",10
"1183","we all know that",10
"1184","we cant wait to",10
"1185","we have a lot",10
"1186","what happened to the",10
"1187","what i wanted to",10
"1188","what should i do",10
"1189","what you want to",10
"1190","when i was in",10
"1191","when you get to",10
"1192","when you look at",10
"1193","will be at the",10
"1194","will be held at",10
"1195","will be on the",10
"1196","wish i had a",10
"1197","with the exception of",10
"1198","years ago i was",10
"1199","you have to go",10
"1200","you might want to",10
"1201","you want to do",10
"1202","you want to know",10
"1203","you will have to",10
"1204","you will need to",10
"1205","a better job of",9
"1206","a few days ago",9
"1207","a few months ago",9
"1208","a group of people",9
"1209","a heck of a",9
"1210","a long time to",9
"1211","a matter of time",9
"1212","a part of this",9
"1213","a portion of the",9
"1214","a time when the",9
"1215","again and again and",9
"1216","all i can do",9
"1217","all i have to",9
"1218","all the time and",9
"1219","am looking forward to",9
"1220","an hour or so",9
"1221","an interview with the",9
"1222","and a half hours",9
"1223","and at the end",9
"1224","and every one of",9
"1225","and i think that",9
"1226","and i went to",9
"1227","and let me know",9
"1228","and there was a",9
"1229","and there was no",9
"1230","and you can see",9
"1231","anything to do with",9
"1232","are a few of",9
"1233","are the ones that",9
"1234","as a matter of",9
"1235","as a means of",9
"1236","as a way of",9
"1237","as good as the",9
"1238","as if it were",9
"1239","as much as the",9
"1240","at a time and",9
"1241","at a young age",9
"1242","at least some of",9
"1243","at the corner of",9
"1244","at the rose garden",9
"1245","back and forth between",9
"1246","be able to go",9
"1247","be able to see",9
"1248","be in the same",9
"1249","be one of those",9
"1250","because i wanted to",9
"1251","become one of the",9
"1252","but i have no",9
"1253","but i love it",9
"1254","but it is a",9
"1255","but it is not",9
"1256","but one of the",9
"1257","but there is a",9
"1258","can honestly say that",9
"1259","can i get a",9
"1260","cant wait for the",9
"1261","circuit court of appeals",9
"1262","day of the week",9
"1263","do you have to",9
"1264","do you think the",9
"1265","does not mean that",9
"1266","don’ get me wrong",9
"1267","don’ want to be",9
"1268","each and every one",9
"1269","end of the week",9
"1270","feel the same way",9
"1271","for a few years",9
"1272","for a number of",9
"1273","for a while now",9
"1274","for the benefit of",9
"1275","forward to seeing you",9
"1276","from the rest of",9
"1277","from the university of",9
"1278","get back to the",9
"1279","glad you like it",9
"1280","great to see you",9
"1281","had a great time",9
"1282","has been in the",9
"1283","has been on the",9
"1284","has got to be",9
"1285","has the right to",9
"1286","has to be a",9
"1287","have a hard time",9
"1288","have an opportunity to",9
"1289","have been trying to",9
"1290","have yet to be",9
"1291","he or she is",9
"1292","he said it was",9
"1293","he was in the",9
"1294","heres a look at",9
"1295","hope you all have",9
"1296","i came up with",9
"1297","i cant wait for",9
"1298","i do have a",9
"1299","i dont care if",9
"1300","i dont think its",9
